pos:   0 isTerminal: 0, terminal: 0, nonTerminal: 8 11 0 0
pos:   1 isTerminal: 0, terminal: 0, nonTerminal: 123 58 77 57
pos:   2 isTerminal: 0, terminal: 0, nonTerminal: 57 123 58 72
pos:   3 isTerminal: 0, terminal: 0, nonTerminal: 74 57 131 58
pos:   4 isTerminal: 0, terminal: 0, nonTerminal: 58 99 57 75
pos:   5 isTerminal: 0, terminal: 0, nonTerminal: 57 57 58 121
pos:   6 isTerminal: 0, terminal: 0, nonTerminal: 57 30 58 123
pos:   7 isTerminal: 0, terminal: 0, nonTerminal: 103 57 77 58
pos:   8 isTerminal: 0, terminal: 0, nonTerminal: 42 0 0 0
pos:   9 isTerminal: 0, terminal: 0, nonTerminal: 57 112 58 90
pos:  10 isTerminal: 0, terminal: 0, nonTerminal: 57 24 58 62
pos:  11 isTerminal: 0, terminal: 0, nonTerminal: 42 31 0 0
pos:  12 isTerminal: 0, terminal: 0, nonTerminal: 5 58 62 57
pos:  13 isTerminal: 0, terminal: 0, nonTerminal: 34 57 78 58
pos:  14 isTerminal: 0, terminal: 0, nonTerminal: 58 103 57 30
pos:  15 isTerminal: 0, terminal: 0, nonTerminal: 77 57 24 58
pos:  16 isTerminal: 0, terminal: 0, nonTerminal: 30 58 82 57
pos:  17 isTerminal: 0, terminal: 0, nonTerminal: 57 123 58 54
pos:  18 isTerminal: 0, terminal: 0, nonTerminal: 57 60 58 22
pos:  19 isTerminal: 0, terminal: 0, nonTerminal: 5 58 102 57
pos:  20 isTerminal: 0, terminal: 0, nonTerminal: 84 57 13 58
pos:  21 isTerminal: 0, terminal: 0, nonTerminal: 57 98 58 120
pos:  22 isTerminal: 0, terminal: 0, nonTerminal: 77 57 125 58
pos:  23 isTerminal: 0, terminal: 0, nonTerminal: 57 54 58 24
pos:  24 isTerminal: 0, terminal: 0, nonTerminal: 58 121 57 58
pos:  25 isTerminal: 0, terminal: 0, nonTerminal: 57 30 58 102
pos:  26 isTerminal: 0, terminal: 0, nonTerminal: 52 57 108 58
pos:  27 isTerminal: 0, terminal: 0, nonTerminal: 57 30 0 0
pos:  28 isTerminal: 0, terminal: 0, nonTerminal: 95 57 23 58
pos:  29 isTerminal: 0, terminal: 0, nonTerminal: 54 57 103 58
pos:  30 isTerminal: 0, terminal: 0, nonTerminal: 57 57 0 0
